Dataset,MAF,Abundance Level,Average F1 Score,Average Precision,Average Recall
220,0.01,4,0.4330,0.5406,0.3893
220,0.01,10,0.7483,0.7089,0.8298
220,0.01,8,0.6709,0.6763,0.7001
220,0.01,7,0.6318,0.6824,0.6127
220,0.01,5,0.5027,0.5973,0.4655
220,0.01,3,0.2793,0.4179,0.2374
220,0.01,6,0.5724,0.6671,0.5350
220,0.01,1,0.0791,0.3472,0.0494
220,0.01,9,0.7274,0.7270,0.7644
220,0.01,2,0.2300,0.4652,0.1692
220,0.02,4,0.4708,0.6124,0.4001
220,0.02,10,0.7990,0.7891,0.8177
220,0.02,8,0.7444,0.7520,0.7486
220,0.02,7,0.6976,0.7312,0.6818
220,0.02,5,0.5672,0.6683,0.5202
220,0.02,3,0.3630,0.5309,0.2885
220,0.02,6,0.6347,0.7076,0.5920
220,0.02,1,0.1241,0.3599,0.0853
220,0.02,9,0.7858,0.7802,0.7992
220,0.02,2,0.2909,0.4924,0.2143
220,0.03,4,0.5400,0.6436,0.4835
220,0.03,10,0.8205,0.7734,0.8862
220,0.03,8,0.7656,0.7600,0.7878
220,0.03,7,0.7428,0.7573,0.7457
220,0.03,5,0.6235,0.6893,0.5906
220,0.03,3,0.3775,0.5209,0.3094
220,0.03,6,0.6700,0.7234,0.6423
220,0.03,1,0.0923,0.3004,0.0663
220,0.03,9,0.8121,0.7722,0.8706
220,0.03,2,0.2722,0.4750,0.2031
220,0.04,4,0.5465,0.6836,0.4771
220,0.04,10,0.8512,0.8165,0.8952
220,0.04,8,0.7796,0.7775,0.7918
220,0.04,7,0.7643,0.7865,0.7583
220,0.04,5,0.6469,0.7431,0.5948
220,0.04,3,0.4236,0.5971,0.3456
220,0.04,6,0.6709,0.7495,0.6314
220,0.04,1,0.0784,0.3318,0.0589
220,0.04,9,0.8355,0.7994,0.8826
220,0.04,2,0.2762,0.4690,0.2028
220,0.05,4,0.5797,0.7140,0.5122
220,0.05,10,0.8620,0.8284,0.9061
220,0.05,8,0.8155,0.8222,0.8276
220,0.05,7,0.7902,0.7953,0.8069
220,0.05,5,0.6446,0.7538,0.5946
220,0.05,3,0.3653,0.5657,0.3030
220,0.05,6,0.7087,0.7873,0.6818
220,0.05,1,0.1143,0.4168,0.0902
220,0.05,9,0.8509,0.8316,0.8834
220,0.05,2,0.2827,0.5475,0.2177
